author_id,openalex_id,openalex_display_name,affiliation,all_affiliations,affiliation_country_code,affiliation_source,openalex_match_status
pid:00/100,https://openalex.org/A5004840638,Kenji Doya,Okinawa Institute of Science and Technology Graduate University,Okinawa Institute of Science and Technology Graduate University,JP,last_known_institutions_primary,matched_by_orcid
pid:00/1015-1,https://openalex.org/A5100662807,Jing Qin,Beihua University,Beihua University|Ministry of Education of the People's Republic of China|Central South University|Hong Kong Polytechnic University|University of Kentucky|Shandong University|Tianjin University|University of Southern Denmark|Guizhou University|Chinese Academy of Medical Sciences & Peking Union Medical College|Harbin Institute of Technology|Sichuan University|Fudan University|University of Würzburg|Peking Union Medical College Hospital|Odense Municipality|China Aerospace Science and Technology Corporation|Tianjin Internal Combustion Engine Research Institute|The Affiliated Yongchuan Hospital of Chongqing Medical University|China Power Engineering Consulting Group (China)|Heilongjiang Institute of Technology|Chongqing Medical University|Shaanxi Normal University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/10396,,,,,,error,error:AttributeError
pid:00/10437,https://openalex.org/A5058516861,Marthie Grobler,Commonwealth Scientific and Industrial Research Organisation,Commonwealth Scientific and Industrial Research Organisation|Data61,AU,last_known_institutions_primary,matched_by_orcid
pid:00/10482,https://openalex.org/A5049361946,Patrick MacAlpine,Sony Corporation (United States),Sony Corporation (United States),US,last_known_institutions_primary,matched_by_orcid
pid:00/105-4,https://openalex.org/A5100636233,Weiming Liu,Tencent (China),Tencent (China),CN,affiliations_fallback,matched_by_orcid
pid:00/105-5,https://openalex.org/A5007858277,Weiming Liu,Zhejiang University,Zhejiang University,CN,affiliations_fallback,matched_by_orcid
pid:00/10782,https://openalex.org/A5012517550,Yuanhao Yu,Shenyang Pharmaceutical University,Shenyang Pharmaceutical University|Jilin University|Inner Mongolia Academy of Agricultural & Animal Husbandry Sciences|China Agricultural University|University of Science and Technology Beijing,CN,last_known_institutions_primary,matched_by_orcid
pid:00/10958-1,https://openalex.org/A5101892138,Amir Najafi,Urmia University,Urmia University,IR,last_known_institutions_primary,matched_by_orcid
pid:00/10958-2,https://openalex.org/A5018408976,Amir Najafi,Institute for Research in Fundamental Sciences,Institute for Research in Fundamental Sciences,IR,affiliations_fallback,matched_by_orcid
pid:00/11044-1,https://openalex.org/A5008194128,Haifeng Sun,Harbin University of Science and Technology,Harbin University of Science and Technology|Heilongjiang University of Science and Technology|Harbin Engineering University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/11322,https://openalex.org/A5026642372,David B. Lobell,Earth System Science Interdisciplinary Center,Earth System Science Interdisciplinary Center,US,last_known_institutions_primary,matched_by_orcid
pid:00/11514,https://openalex.org/A5000942708,Laure Soulier,Sorbonne Université,Sorbonne Université|Université Paris 1 Panthéon-Sorbonne,FR,last_known_institutions_primary,matched_by_orcid
pid:00/1197,https://openalex.org/A5042053820,Andrew P. Bradley,Queensland University of Technology,Queensland University of Technology|University of the Sunshine Coast,AU,last_known_institutions_primary,matched_by_orcid
pid:00/1285,https://openalex.org/A5040209225,Ricardo Fukasawa,University of Waterloo,University of Waterloo,CA,last_known_institutions_primary,matched_by_orcid
pid:00/131,https://openalex.org/A5015981200,Xianghua Ying,Peking University,Peking University,CN,affiliations_fallback,matched_by_orcid
pid:00/1553-1,https://openalex.org/A5100429158,Shengli Li,Beijing University of Agriculture,Beijing University of Agriculture,CN,last_known_institutions_primary,matched_by_orcid
pid:00/1627-4,https://openalex.org/A5102770079,Junyi Zhang,Jiangnan University,Jiangnan University|Beijing University of Posts and Telecommunications|Sun Yat-sen University|Qufu Normal University|Lawrence Technological University|China University of Mining and Technology|Suzhou University of Science and Technology|Northwest University|Southeast University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/1846,https://openalex.org/A5008875255,Dietrich Klakow,Saarland University,Saarland University,DE,last_known_institutions_primary,matched_by_orcid
pid:00/1943,https://openalex.org/A5002685368,Raúl San Jośe Estépar,Brigham and Women's Hospital,Brigham and Women's Hospital,US,last_known_institutions_primary,matched_by_orcid
pid:00/202,https://openalex.org/A5048009053,David Bull,University of Bristol,University of Bristol,GB,last_known_institutions_primary,matched_by_orcid
pid:00/2029,https://openalex.org/A5025618347,Luigi Di Stefano,University of Bologna,University of Bologna,IT,last_known_institutions_primary,matched_by_orcid
pid:00/2494,https://openalex.org/A5065067629,Hady W. Lauw,Singapore Management University,Singapore Management University,SG,last_known_institutions_primary,matched_by_orcid
pid:00/2597,https://openalex.org/A5066542398,Alessandro Laio,Scuola Internazionale Superiore di Studi Avanzati,Scuola Internazionale Superiore di Studi Avanzati|Centre de Physique Théorique,IT,last_known_institutions_primary,matched_by_orcid
pid:00/2873,https://openalex.org/A5062388770,Filip Železný,Czech Technical University in Prague,Czech Technical University in Prague,CZ,last_known_institutions_primary,matched_by_orcid
pid:00/2922-8,https://openalex.org/A5108039951,Xu Huang,University of Science and Technology of China,University of Science and Technology of China,CN,affiliations_fallback,matched_by_orcid
pid:00/2960,https://openalex.org/A5068974029,Michael Chertkov,University of Arizona,University of Arizona,US,last_known_institutions_primary,matched_by_orcid
pid:00/2996,https://openalex.org/A5101481819,Dominik Schmidt,Taipei Municipal Jen-Ai Hospital,Taipei Municipal Jen-Ai Hospital,TW,last_known_institutions_primary,matched_by_orcid
pid:00/3003,https://openalex.org/A5012529382,Junwei Han,Chongqing University of Posts and Telecommunications,Chongqing University of Posts and Telecommunications|Northwestern Polytechnical University|Shandong Normal University|Xi'an Technological University|Chinese Institute for Brain Research|Zhejiang University,CN,last_known_institutions_primary,matched_by_orcid
