author_id,openalex_id,openalex_display_name,affiliation,all_affiliations,affiliation_country_code,affiliation_source,openalex_match_status
pid:00/100,https://openalex.org/A5004840638,Kenji Doya,Okinawa Institute of Science and Technology Graduate University,Okinawa Institute of Science and Technology Graduate University,JP,last_known_institutions_primary,matched_by_orcid
pid:00/1015-1,https://openalex.org/A5100662807,Jing Qin,Beihua University,Beihua University|Ministry of Education of the People's Republic of China|Central South University|Hong Kong Polytechnic University|University of Kentucky|Shandong University|Tianjin University|University of Southern Denmark|Guizhou University|Chinese Academy of Medical Sciences & Peking Union Medical College|Harbin Institute of Technology|Sichuan University|Fudan University|University of Würzburg|Peking Union Medical College Hospital|Odense Municipality|China Aerospace Science and Technology Corporation|Tianjin Internal Combustion Engine Research Institute|The Affiliated Yongchuan Hospital of Chongqing Medical University|China Power Engineering Consulting Group (China)|Heilongjiang Institute of Technology|Chongqing Medical University|Shaanxi Normal University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/10396,,,,,,error,error:AttributeError
pid:00/10437,https://openalex.org/A5058516861,Marthie Grobler,Commonwealth Scientific and Industrial Research Organisation,Commonwealth Scientific and Industrial Research Organisation|Data61,AU,last_known_institutions_primary,matched_by_orcid
pid:00/10482,https://openalex.org/A5049361946,Patrick MacAlpine,Sony Corporation (United States),Sony Corporation (United States),US,last_known_institutions_primary,matched_by_orcid
pid:00/105-4,https://openalex.org/A5100636233,Weiming Liu,Tencent (China),Tencent (China),CN,affiliations_fallback,matched_by_orcid
pid:00/105-5,https://openalex.org/A5007858277,Weiming Liu,Zhejiang University,Zhejiang University,CN,affiliations_fallback,matched_by_orcid
pid:00/10782,https://openalex.org/A5012517550,Yuanhao Yu,Shenyang Pharmaceutical University,Shenyang Pharmaceutical University|Jilin University|Inner Mongolia Academy of Agricultural & Animal Husbandry Sciences|China Agricultural University|University of Science and Technology Beijing,CN,last_known_institutions_primary,matched_by_orcid
pid:00/10958-1,https://openalex.org/A5101892138,Amir Najafi,Urmia University,Urmia University,IR,last_known_institutions_primary,matched_by_orcid
pid:00/10958-2,https://openalex.org/A5018408976,Amir Najafi,Institute for Research in Fundamental Sciences,Institute for Research in Fundamental Sciences,IR,affiliations_fallback,matched_by_orcid
pid:00/11044-1,https://openalex.org/A5008194128,Haifeng Sun,Harbin University of Science and Technology,Harbin University of Science and Technology|Heilongjiang University of Science and Technology|Harbin Engineering University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/11322,https://openalex.org/A5026642372,David B. Lobell,Earth System Science Interdisciplinary Center,Earth System Science Interdisciplinary Center,US,last_known_institutions_primary,matched_by_orcid
pid:00/11514,https://openalex.org/A5000942708,Laure Soulier,Sorbonne Université,Sorbonne Université|Université Paris 1 Panthéon-Sorbonne,FR,last_known_institutions_primary,matched_by_orcid
pid:00/2029,https://openalex.org/A5025618347,Luigi Di Stefano,University of Bologna,University of Bologna,IT,last_known_institutions_primary,matched_by_orcid
pid:00/3003,https://openalex.org/A5012529382,Junwei Han,Chongqing University of Posts and Telecommunications,Chongqing University of Posts and Telecommunications|Northwestern Polytechnical University|Shandong Normal University|Xi'an Technological University|Chinese Institute for Brain Research|Zhejiang University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/3862,https://openalex.org/A5062906790,Teddy Furon,Centre National de la Recherche Scientifique,Centre National de la Recherche Scientifique|Institut national de recherche en sciences et technologies du numérique|Institut de Recherche en Informatique et Systèmes Aléatoires|Inria Rennes - Bretagne Atlantique Research Centre|Centre Inria de l'Université de Rennes|Université de Rennes,FR,last_known_institutions_primary,matched_by_orcid
pid:00/4572-3,https://openalex.org/A5101456902,Chun Yuan,Tsinghua University,Tsinghua University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/4734,https://openalex.org/A5057462458,Saša Misailovíc,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,US,last_known_institutions_primary,matched_by_orcid
pid:00/4758,https://openalex.org/A5000874697,Jonathan May,Biomedical Research Institute of Southern California,Biomedical Research Institute of Southern California|Southern States University,US,last_known_institutions_primary,matched_by_orcid
pid:00/5012-1,https://openalex.org/A5134080028,Jie Zhou,Tsinghua University,Tsinghua University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/5012-16,https://openalex.org/A5100770464,Jie Zhou,Fujian Medical University,Fujian Medical University|National University of Defense Technology|University of Macau|Tencent (China)|Zhangzhou Municipal Hospital of Fujian Province|Shanghai Electric (China)|Shenzhen Technology University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/555-1,https://openalex.org/A5100365573,Yifei Wang,Wuhan University,Wuhan University|Beijing University of Technology|Wuhan Donghu University|Tsinghua University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/5815-1,https://openalex.org/A5005819096,Yun Fu,Northeastern University,Northeastern University|Sun Yat-sen University|National Changhua University of Education|Universidad del Noreste|Northwest A&F University,US,last_known_institutions_primary,matched_by_orcid
pid:00/6186,https://openalex.org/A5066187890,Andrea Passerini,University of Trento,University of Trento,IT,last_known_institutions_primary,matched_by_orcid
pid:00/6472-3,https://openalex.org/A5100366889,Shuo Chen,Suzhou University of Science and Technology,Suzhou University of Science and Technology|Nanjing University of Science and Technology|RIKEN Center for Advanced Intelligence Project|Beihang University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/7733-2,https://openalex.org/A5102912701,Zhengyi Luo,Carnegie Mellon University,Carnegie Mellon University,US,last_known_institutions_primary,matched_by_orcid
