community_id,community_label,community_size,dominant_affiliation,dominant_affiliation_count,community_purity,purity_contribution,distinct_affiliations
0,Community 1,9,Ludwig-Maximilians-Universität München,2,0.2222222222222222,2,17
1,Community 2,69,"University of California, Berkeley",15,0.21739130434782608,15,129
2,Community 3,48,University of Amsterdam,8,0.16666666666666666,8,52
3,Community 4,34,Adobe Systems (United States),3,0.08823529411764706,3,82
4,Community 5,97,Northeastern University,8,0.08247422680412371,8,220
5,Community 6,5,Technical University of Munich,4,0.8,4,3
6,Community 7,92,Massachusetts Institute of Technology,12,0.13043478260869565,12,186
7,Community 8,2,Courant Institute of Mathematical Sciences,2,1.0,2,2
8,Community 9,50,Microsoft Research Asia (China),6,0.12,6,146
9,Community 10,6,University of Freiburg,5,0.8333333333333334,5,7
10,Community 11,5,Nanjing University,3,0.6,3,7
11,Community 12,16,Allen Institute,5,0.3125,5,15
12,Community 13,16,Xiamen University,10,0.625,10,26
13,Community 14,3,Allen University,1,0.3333333333333333,1,6
14,Community 15,2,Tel Aviv University,2,1.0,2,2
15,Community 16,22,National University of Defense Technology,9,0.4090909090909091,9,76
16,Community 17,19,Google (United States),4,0.21052631578947367,4,36
17,Community 18,3,Stanford University,3,1.0,3,1
18,Community 19,30,Technische Universität Darmstadt,4,0.13333333333333333,4,33
19,Community 20,5,University of Chinese Academy of Sciences,3,0.6,3,24
20,Community 21,6,"Agency for Science, Technology and Research",2,0.3333333333333333,2,11
21,Community 22,5,Johannes Kepler University of Linz,3,0.6,3,6
22,Community 23,3,KTH Royal Institute of Technology,1,0.3333333333333333,1,4
23,Community 24,4,Seoul National University,3,0.75,3,3
24,Community 25,2,Samsung (United Kingdom),2,1.0,2,2
25,Community 26,60,University of Science and Technology of China,14,0.23333333333333334,14,133
26,Community 27,2,Columbia University Irving Medical Center,1,0.5,1,3
27,Community 28,9,École Polytechnique Fédérale de Lausanne,4,0.4444444444444444,4,7
28,Community 29,8,Tsinghua University,3,0.375,3,48
29,Community 30,2,Google DeepMind (United Kingdom),2,1.0,2,2
30,Community 31,5,Amazon (United States),1,0.2,1,10
31,Community 32,41,Google (United States),17,0.4146341463414634,17,26
32,Community 33,101,University of Science and Technology of China,17,0.16831683168316833,17,256
33,Community 34,4,Tsinghua University,2,0.5,2,10
34,Community 35,30,Michigan State University,4,0.13333333333333333,4,79
35,Community 36,64,Tsinghua University,15,0.234375,15,171
36,Community 37,2,McGill University,1,0.5,1,2
37,Community 38,2,Google (United States),1,0.5,1,2
38,Community 39,103,Shanghai Jiao Tong University,8,0.07766990291262135,8,229
39,Community 40,7,Beijing Normal University,1,0.14285714285714285,1,12
40,Community 41,22,Texas A&M University,5,0.22727272727272727,5,46
41,Community 42,4,Tsinghua University,4,1.0,4,6
42,Community 43,2,Berlin Institute of Health at Charité - Universitätsmedizin Berlin,1,0.5,1,3
43,Community 44,3,Beijing University of Chemical Technology,1,0.3333333333333333,1,8
44,Community 45,4,China Southern Power Grid (China),1,0.25,1,11
45,Community 46,5,Aalto University,1,0.2,1,8
46,Community 47,3,Korea Advanced Institute of Science and Technology,2,0.6666666666666666,2,3
47,Community 48,3,Neurosciences Institute,2,0.6666666666666666,2,7
48,Community 49,3,Cell Technology (China),1,0.3333333333333333,1,7
49,Community 50,2,IIT@MIT,1,0.5,1,4
50,Community 51,2,Apple (United Kingdom),1,0.5,1,2
51,Community 52,7,Chinese University of Hong Kong,2,0.2857142857142857,2,7
52,Community 53,2,Cornell University,2,1.0,2,1
53,Community 54,3,Ingegneria dei Sistemi (Italy),1,0.3333333333333333,1,3
54,Community 55,10,Sorbonne Université,5,0.5,5,24
55,Community 56,4,Duke University,2,0.5,2,4
56,Community 57,2,Artificial Intelligence in Medicine (Canada),1,0.5,1,3
57,Community 58,3,Pennsylvania State University,1,0.3333333333333333,1,3
58,Community 59,3,Bernstein Center for Computational Neuroscience Tübingen,1,0.3333333333333333,1,8
59,Community 60,2,"University of California, Santa Cruz",2,1.0,2,2
60,Community 61,5,Google (United States),3,0.6,3,6
61,Community 62,4,École Polytechnique Fédérale de Lausanne,2,0.5,2,3
62,Community 63,12,Chinese Academy of Sciences,10,0.8333333333333334,10,56
63,Community 64,3,Harvard University,1,0.3333333333333333,1,3
64,Community 65,10,Peking University,5,0.5,5,22
65,Community 66,3,Nanjing University,2,0.6666666666666666,2,4
66,Community 67,10,ETH Zurich,6,0.6,6,3
67,Community 68,2,Brown University,1,0.5,1,5
68,Community 69,45,Tsinghua University,11,0.24444444444444444,11,134
69,Community 70,8,"Agency for Science, Technology and Research",2,0.25,2,35
70,Community 71,3,Amherst College,2,0.6666666666666666,2,5
71,Community 72,45,Google (United States),5,0.1111111111111111,5,115
72,Community 73,44,University of Virginia,5,0.11363636363636363,5,143
73,Community 74,4,ETH Zurich,2,0.5,2,3
74,Community 75,3,Oregon State University,2,0.6666666666666666,2,6
75,Community 76,2,Georgia Institute of Technology,1,0.5,1,4
76,Community 77,40,Beijing Academy of Artificial Intelligence,6,0.15,6,101
77,Community 78,5,Centre Inria de Saclay,3,0.6,3,9
78,Community 79,6,Western University,3,0.5,3,23
79,Community 80,2,Massachusetts Institute of Technology,1,0.5,1,2
80,Community 81,2,Georgia Institute of Technology,1,0.5,1,2
81,Community 82,8,University of Hong Kong,4,0.5,4,22
82,Community 83,2,Berkeley College,1,0.5,1,8
83,Community 84,2,Amazon (Germany),1,0.5,1,3
84,Community 85,3,National University of Defense Technology,2,0.6666666666666666,2,18
85,Community 86,2,Institute of Computing Technology,2,1.0,2,3
86,Community 87,2,Inserm,1,0.5,1,4
87,Community 88,3,Cape Eleuthera Institute,1,0.3333333333333333,1,3
88,Community 89,5,Baylor College of Medicine,3,0.6,3,15
89,Community 90,44,Sichuan University,6,0.13636363636363635,6,108
90,Community 91,2,London School of Economics and Political Science,1,0.5,1,2
91,Community 92,20,"University of Maryland, College Park",6,0.3,6,18
92,Community 93,2,East China University of Technology,1,0.5,1,8
93,Community 94,5,Fudan University,4,0.8,4,10
94,Community 95,5,Chengdu Jincheng College,1,0.2,1,9
95,Community 96,64,Peking University,5,0.078125,5,113
96,Community 97,3,Beijing Academy of Artificial Intelligence,1,0.3333333333333333,1,7
97,Community 98,2,Instituto de Telecomunicações,2,1.0,2,4
98,Community 99,4,Imperial College London,2,0.5,2,6
99,Community 100,74,ETH Zurich,9,0.12162162162162163,9,82
100,Community 101,2,Indian Institute of Technology BHU,1,0.5,1,3
