author_id,name,dblp_pid,orcid,paper_count,weighted_degree,community_id,community_label,bridge_score
pid:s/MihaelavanderSchaar,Mihaela van der Schaar,s/MihaelavanderSchaar,0000-0003-3933-6049,148,58,0,Community 1,0.0
pid:140/7324,Ahmed M. Alaa,140/7324,0000-0001-9936-7141,28,18,0,Community 1,0.0
pid:278/8353,Jonathan Crabbé,278/8353,0000-0002-0341-7712,14,14,0,Community 1,0.0
pid:125/0630,Stefan Feuerriegel,125/0630,0000-0001-7856-8729,21,12,0,Community 1,0.0
pid:281/4466,Fergus Imrie,281/4466,0000-0002-6241-0123,11,11,0,Community 1,0.0
pid:236/4591,Jeroen Berrevoets,236/4591,0000-0002-0396-5655,8,8,0,Community 1,0.0
pid:329/4240,Jonas Schweisthal,329/4240,0000-0003-3725-3821,5,5,0,Community 1,0.0
pid:350/8343,Kasia Kobalczyk,350/8343,0000-0002-1017-6881,4,4,0,Community 1,0.0
pid:353/9092,Maresa Schröder,353/9092,0009-0003-4141-4314,4,4,0,Community 1,0.0
pid:74/9023,Mingsheng Long,74/9023,0000-0001-9421-463X,66,94,1,Community 2,1.1489361702127658
pid:j/MichaelIJordan,Michael I. Jordan,j/MichaelIJordan,0000-0001-8935-817X,117,90,1,Community 2,3.333333333333333
pid:06/3456-1,Jianmin Wang 0001,06/3456-1,0000-0001-6841-7943,51,82,1,Community 2,0.2195121951219512
pid:10/6978,Michael W. Mahoney,10/6978,0000-0001-7920-4652,81,65,1,Community 2,0.27692307692307694
pid:s/IonStoica,Ion Stoica,s/IonStoica,0000-0002-5373-0088,46,49,1,Community 2,0.36734693877551017
pid:61/8262,Joseph Gonzalez 0001,61/8262,0000-0003-2921-956X,45,43,1,Community 2,0.0
pid:d/TrevorDarrell,Trevor Darrell,d/TrevorDarrell,0000-0001-5453-8533,65,39,1,Community 2,0.8205128205128205
pid:17/4402,Martin Jaggi,17/4402,0000-0003-1579-5558,65,32,1,Community 2,0.0
pid:126/1802-1,Chi Jin 0001,126/1802-1,0000-0002-2865-5610,53,31,1,Community 2,16.35483870967742
pid:29/4867-7,Yong Liu 0007,29/4867-7,0000-0003-4822-8939,17,26,1,Community 2,0.0
pid:49/3441,Jingdong Wang 0001,49/3441,0000-0002-4888-4445,31,22,1,Community 2,0.0
pid:w/HaoWang-14,Hao Wang 0014,w/HaoWang-14,0000-0002-7308-938X,36,21,1,Community 2,0.8571428571428571
pid:40/6158,Alexei A. Efros,40/6158,0000-0001-5720-8070,31,21,1,Community 2,7.0
pid:43/8355-1,Yuyang Wang 0001,43/8355-1,0000-0002-0291-7184,18,21,1,Community 2,0.0
pid:55/2270-25,Hao Zhang 0025,55/2270-25,0009-0003-8392-3977,20,20,1,Community 2,0.0
pid:64/4492-4,Tao Lin 0004,64/4492-4,0000-0002-3246-6935,19,19,1,Community 2,0.0
pid:217/3342,Sai Praneeth Karimireddy,217/3342,0000-0003-0661-2801,18,18,1,Community 2,0.0
pid:43/8919,Jiantao Jiao,43/8919,0000-0003-3766-8031,26,17,1,Community 2,2.9411764705882355
