author_id,name,display_name,dblp_pid,orcid,affiliation,all_affiliations,community_id,community_label,weighted_degree,paper_count,bridge_score,in_visualized_subgraph
pid:241/0472-3,Bo Han 0003,Bo Han,241/0472-3,0000-0002-6338-0958,Weifang Medical University,Weifang Medical University|Hong Kong Baptist University|Lianyungang Oriental Hospital|Second Hospital of Shandong University,38,Community 39,342,130,4.222222222222222,1
pid:150/6667,Tongliang Liu,Tongliang Liu,150/6667,0000-0002-9640-6472,The University of Sydney,The University of Sydney,38,Community 39,286,130,8.223776223776223,1
pid:l/TieYanLiu,Tie-Yan Liu,Tie-Yan Liu,l/TieYanLiu,0000-0002-0476-8020,Microsoft (United States),Microsoft (United States)|Cooperative Institute for Research in Environmental Sciences|University of Colorado Boulder|Microsoft Research Asia (China)|Beijing Haidian Hospital|Artificial Intelligence in Medicine (Canada),8,Community 9,201,90,0.15920398009950248,1
pid:46/3391,Dacheng Tao,Dacheng Tao,46/3391,0000-0001-7225-5449,Nanyang Technological University,Nanyang Technological University,575,Community 576,188,120,46.91489361702128,1
pid:14/6841-1,Tao Qin 0001,Tao Qin,14/6841-1,0000-0002-9095-0776,Sichuan University,Sichuan University|Southwest Forestry University|West China Hospital of Sichuan University|Shanghai Maritime University,8,Community 9,177,60,0.0,1
pid:80/7594,Sergey Levine,Sergey Levine,80/7594,0000-0001-6764-2743,"University of California, Berkeley","University of California, Berkeley",524,Community 525,176,248,0.18181818181818182,1
pid:t/JoshuaBTenenbaum,Joshua B. Tenenbaum,Joshua B. Tenenbaum,t/JoshuaBTenenbaum,0000-0002-1925-2035,Institute of Cognitive and Brain Sciences,Institute of Cognitive and Brain Sciences|Moscow Institute of Thermal Technology|IIT@MIT|Intelligent Machines (Sweden)|Massachusetts Institute of Technology|Rockefeller University,6,Community 7,171,137,0.5730994152046783,1
pid:21/7664,Jianye Hao,Jianye Hao,21/7664,0000-0002-0422-8235,Tianjin University,Tianjin University|Huawei Technologies (China)|Huawei Technologies (Sweden),35,Community 36,162,78,1.5,1
pid:96/3115-1,Kun Zhang 0001,Kun Zhang,96/3115-1,0000-0002-0738-9958,Fujian Medical University,Fujian Medical University|Nanjing Tech University|Shanghai University of Engineering Science|Xidian University|Singapore Institute of Technology|Peking University|Nanjing Institute of Technology|Hebei University of Science and Technology|Mohamed bin Zayed University of Artificial Intelligence|Qinghai New Energy (China)|Tiandi Science & Technology (China)|Shandong Lianxing Energy Group (China)|Zhejiang University of Technology|Carnegie Mellon University|Shandong University of Science and Technology,38,Community 39,150,114,8.64,1
pid:26/3367-1,Gang Niu 0001,Gang Niu,26/3367-1,0000-0002-7353-5079,RIKEN Center for Advanced Intelligence Project,RIKEN Center for Advanced Intelligence Project,38,Community 39,145,81,2.0689655172413794,1
