dblp_pid,orcid
00/100,0000-0002-2446-6820
00/10049,
00/10104,
00/1015,
00/1015-1,0000-0002-7059-0929
00/10231,
00/10276,
00/10336,
00/10396,0000-0002-3664-089X
00/10437,0000-0001-6933-0145
00/10452,
00/10482,0000-0001-6763-2625
00/105-4,0000-0002-4262-639X
00/105-5,0000-0002-4115-7667
00/10524,
00/10545,
00/10553,
00/10782,0000-0001-8176-9716
00/10800,
00/10854,
00/10956,
00/10958-1,0000-0002-4786-7483
00/10958-2,0000-0002-6680-0110
00/10958-3,
00/11044-1,0000-0003-3072-7422
00/11268,
00/11287,
00/11322,0000-0002-5969-3476
00/11337,
00/11413,
00/11510,
00/11514,0000-0001-9827-7400
00/11534,
00/1197,0000-0003-0109-6844
00/1285,0000-0001-8785-5906
00/131,0000-0002-9785-0727
00/1357,
00/1420,
00/1438,
00/1553-1,0000-0003-0570-4165
00/1555,
00/1627-4,0000-0002-9291-3098
00/1728,
00/1728-2,
00/1790,
00/1815,
00/1846,0000-0002-4147-9690
00/1943,0000-0002-3677-1996
00/1992,
00/202,0000-0001-7634-190X
00/2029,0000-0001-6014-6421
00/218,
00/2185,
00/2332,
00/2406,
00/2434,
00/2439,
00/2494,0000-0002-8245-8677
00/2597,0000-0001-9164-7907
00/2658,
00/2733,
00/2812,
00/2843-1,
00/2873,0000-0001-9780-3376
00/2922-8,0000-0003-4354-334X
00/2924,
00/2937,
00/2960,0000-0002-6758-515X
00/2989,
00/3003,0000-0001-5545-7217
00/3050,0000-0002-2983-9884
00/3174,
00/318,
00/3188,
00/3214,0000-0002-6603-3257
00/3240,
00/3298,0000-0001-6843-4508
00/3356,
00/336,0000-0003-0150-8220
00/3361-3,0000-0002-7464-1172
00/343,0000-0002-0542-8757
00/3605,0000-0002-4849-7955
00/3645,
00/3791,
00/3820,0000-0002-1118-6483
00/3855-2,0000-0002-1415-2617
00/3862,0000-0002-1565-765X
00/3896-2,0000-0003-2892-0194
00/4013,
00/4030,
00/4099-2,
00/4132-1,0000-0002-9370-2663
00/4199,0000-0001-9819-9158
00/4303,
00/440,
00/4483,
00/4516,
00/4516-5,0000-0002-1318-6540
00/4572-3,0000-0002-3590-6676
00/4583,
00/4652-2,0000-0002-4255-7750
00/4709-3,0000-0002-2761-696X
00/4734,0000-0001-7319-8845
00/4758,0000-0002-5284-477X
00/4859,
00/4859-26,
00/4867,
00/4868,
00/4936,
00/4977,
00/5012,
00/5012-1,0000-0001-7701-234X
00/5012-16,0000-0002-5899-5165
00/505,
00/5099,
00/5144,0009-0007-5022-9443
00/5170-1,0000-0001-9869-4685
00/5284,
00/5358,
00/5405-2,0009-0009-2855-8990
00/5451,0000-0001-5669-4871
00/5480,
00/5525,0000-0002-0066-761X
00/555,
00/555-1,0000-0002-0688-6012
00/555-2,0000-0002-8295-5534
00/555-5,0000-0002-0364-0893
00/5595,
00/5804-5,0000-0001-7777-6403
00/5815-1,0000-0002-5098-2853
00/582,
00/5848,0000-0002-5710-1107
00/5867,
00/5867-2,0000-0001-7426-6248
00/5867-26,0000-0002-2697-5661
00/5984,
00/5984-11,0000-0002-9714-198X
00/5995,
00/6040,
00/6108,
00/6131,
00/6186,0000-0002-2765-5395
00/6200,
00/6232,0000-0001-5273-6472
00/6306,
00/6336,0000-0001-5318-4825
00/6342,
00/6342-10,0009-0001-5577-8595
00/6357-3,
00/6362,
00/6381,
00/6381-2,0000-0002-5632-7737
00/6472,
00/6472-14,0000-0001-7305-3793
00/6472-3,0000-0003-3848-3397
00/6525,
00/6525-2,
00/6525-24,
00/6661-6,0000-0003-2672-6291
00/6705,
00/6716,
00/6716-1,
00/6716-4,0000-0002-2891-9153
00/680-1,
00/6922,0000-0002-4605-0500
