country_name,affiliation,paper_count,country_paper_count,global_share_percent,country_share_percent
United States,Google (United States),1627,9351,5.520494028230185,17.39920864078708
United States,Carnegie Mellon University,853,9351,2.894272529858849,9.122019035397285
United States,Stanford University,688,9351,2.3344191096634095,7.357501871457599
United States,"University of California, Berkeley",648,9351,2.198697068403909,6.9297401347449465
United States,University of Illinois Urbana-Champaign,516,9351,1.7508143322475571,5.5181264035931985
United States,Princeton University,472,9351,1.6015200868621065,5.0475884932092825
United States,Georgia Institute of Technology,456,9351,1.5472312703583062,4.876483798524222
United States,Massachusetts Institute of Technology,449,9351,1.5234799131378935,4.8016254945995085
United States,Berkeley College,401,9351,1.360613463626493,4.288311410544327
United States,"University of California, Los Angeles",396,9351,1.3436482084690555,4.234841193455245
United States,Amazon (United States),344,9351,1.1672095548317047,3.6787509357287993
United States,University of Southern California,330,9351,1.1197068403908794,3.529034327879371
United States,University of Washington,317,9351,1.0755971769815418,3.3900117634477596
United States,Microsoft (United States),306,9351,1.038273615635179,3.2723772858517806
United States,The University of Texas at Austin,287,9351,0.9738056460369164,3.0691904609132714
United States,University of Wisconsin–Madison,285,9351,0.9670195439739414,3.047802374077639
United States,Cornell University,268,9351,0.9093376764386537,2.866003635974762
United States,"University of Maryland, College Park",249,9351,0.8448697068403909,2.6628168110362527
United States,University of California San Diego,244,9351,0.8279044516829533,2.6093465939471714
United States,Northwestern University,215,9351,0.7295059717698154,2.2992193348304992
China,Shanghai Jiao Tong University,640,6389,2.1715526601520088,10.017217091876663
China,Peking University,583,6389,1.9781487513572202,9.125058694631399
China,University of Science and Technology of China,563,6389,1.9102877307274704,8.812020660510251
China,Tsinghua University,510,6389,1.730456026058632,7.982469870089217
China,Chinese Academy of Sciences,392,6389,1.3300760043431055,6.135545468774456
China,Tongji University,293,6389,0.9941639522258414,4.586007199874785
China,Beijing University of Posts and Telecommunications,286,6389,0.970412595005429,4.476443887932384
China,Xidian University,278,6389,0.9432681867535289,4.3512286742839255
China,Sun Yat-sen University,263,6389,0.8923724212812161,4.116450148693066
China,Beijing Academy of Artificial Intelligence,262,6389,0.8889793702497286,4.10079824698701
China,Zhejiang University,261,6389,0.885586319218241,4.085146345280951
China,Kunming University of Science and Technology,245,6389,0.8312975027144408,3.834715917984035
China,Tianjin University,242,6389,0.8211183496199783,3.7877602128658627
China,Jiangsu University,239,6389,0.8109391965255157,3.7408045077476917
China,Beijing Institute of Technology,238,6389,0.8075461454940283,3.725152606041634
China,Zhejiang University of Science and Technology,234,6389,0.7939739413680782,3.662544999217405
China,University of Electronic Science and Technology of China,219,6389,0.7430781758957654,3.4277664736265456
China,Fujian Medical University,218,6389,0.739685124864278,3.412114571920488
China,Fudan University,214,6389,0.7261129207383279,3.3495069650962592
China,Chongqing University of Posts and Telecommunications,209,6389,0.7091476655808903,3.2712474565659724
United Kingdom,University of Oxford,511,2522,1.7338490770901196,20.261697065820776
United Kingdom,University of Cambridge,304,2522,1.0314875135722041,12.053925455987311
