author_id,name,query_name,dblp_pid,paper_count,metric,metric_value,openalex_id,openalex_display_name,employer,all_employers,employer_country_code,employer_count,openalex_affiliations_count,employer_source,employer_status,openalex_match_status,wikidata_id,wikidata_label,country_of_citizenship,wikidata_match_status
pid:80/7594,Sergey Levine,Sergey Levine,80/7594,248,paper_count,248,https://openalex.org/A5026322200,Sergey Levine,"University of California, Berkeley","University of California, Berkeley",US,1,20,affiliations_fallback,found,matched,Q59484402,Sergey Levine,,matched
pid:56/953,Yoshua Bengio,Yoshua Bengio,56/953,192,paper_count,192,https://openalex.org/A5086198262,Yoshua Bengio,Canadian Institute for Advanced Research,"Canadian Institute for Advanced Research|University of Nevada, Las Vegas|University of Córdoba|Centre Universitaire de Mila|Mila - Quebec Artificial Intelligence Institute|Université de Montréal",CA,6,53,last_known_institutions_primary,found,matched,Q3572699,Yoshua Bengio,Canada|France,matched
pid:47/8135,Stefano Ermon,Stefano Ermon,47/8135,163,paper_count,163,https://openalex.org/A5091179481,Stefano Ermon,Stanford Medicine,Stanford Medicine|Stanford University,US,2,11,last_known_institutions_primary,found,matched,Q59484957,Stefano Ermon,,matched
pid:119/4026,Zhangyang Wang,Zhangyang Wang,119/4026,160,paper_count,160,https://openalex.org/A5048522863,Zhangyang Wang,The University of Texas at Austin,The University of Texas at Austin,US,1,23,last_known_institutions_primary,found,matched,Q130936153,Zhangyang Wang,,matched
pid:a/PieterAbbeel,Pieter Abbeel,Pieter Abbeel,a/PieterAbbeel,157,paper_count,157,https://openalex.org/A5049349154,Pieter Abbeel,Berkeley College,"Berkeley College|Baird Institute|University of California, Berkeley",US,3,25,last_known_institutions_primary,found,matched,Q33374357,Pieter Abbeel,,matched
pid:s/MihaelavanderSchaar,Mihaela van der Schaar,Mihaela van der Schaar,s/MihaelavanderSchaar,148,paper_count,148,https://openalex.org/A5012339002,Mihaela van der Schaar,"University of California, Los Angeles","University of California, Los Angeles",US,1,43,affiliations_fallback,found,matched,Q61070984,Mihaela van der Schaar,,matched
pid:97/119,Bernhard Schölkopf,Bernhard Schölkopf,97/119,147,paper_count,147,https://openalex.org/A5044005697,Bernhard Schölkopf,Max Planck Institute for Intelligent Systems,Max Planck Institute for Intelligent Systems,DE,1,39,affiliations_fallback,found,matched,Q4894234,Bernhard Schölkopf,Germany,matched
pid:50/2644-1,Jun Zhu 0001,Jun Zhu,50/2644-1,142,paper_count,142,https://openalex.org/A5025840041,Jun Zhu,Chinese Academy of Medical Sciences & Peking Union Medical College,Chinese Academy of Medical Sciences & Peking Union Medical College|Mianyang Normal University|Duke-NUS Medical School|Shenzhen Bao'an District People's Hospital|Shenzhen Municipal People's Government|Yulin University|Yulin Orthopedics Hospital of Chinese and Western Medicine|Ocean University of China,CN,8,51,last_known_institutions_primary,found,matched,Q104284120,Jun Zhu,,matched
pid:50/4597,Quanquan Gu,Quanquan Gu,50/4597,140,paper_count,140,https://openalex.org/A5051448391,Quanquan Gu,Zhejiang Shuren University,Zhejiang Shuren University,CN,1,27,last_known_institutions_primary,found,matched,Q103226469,Quanquan Gu,,matched
pid:t/JoshuaBTenenbaum,Joshua B. Tenenbaum,Joshua B. Tenenbaum,t/JoshuaBTenenbaum,137,paper_count,137,https://openalex.org/A5071093940,Joshua B. Tenenbaum,Institute of Cognitive and Brain Sciences,Institute of Cognitive and Brain Sciences|Moscow Institute of Thermal Technology|IIT@MIT|Intelligent Machines (Sweden)|Massachusetts Institute of Technology|Rockefeller University,US,6,41,last_known_institutions_primary,found,matched,Q16976397,Joshua B. Tenenbaum,United States,matched
