author_id,name,dblp_pid,paper_count,paper_ids,venues,years
pid:48/8875,Dongxiao He,48/8875,9,conf-aaai-wuhww025|conf-aaai-dinghy0h25|conf-aaai-leicyhhw025|conf-aaai-lifhcgw25|conf-aaai-yulch0w25|conf-aaai-huangzh0h025|conf-aaai-0001zfwhw25|conf-aaai-liuhy00z25|conf-aaai-yanwhw0025,AAAI,2025
pid:44/6570-1,Dan Guo 0001,44/6570-1,8,conf-aaai-hu0sldzz025|conf-aaai-li0c0xwfw25|conf-aaai-lizztl025|conf-aaai-qiansgzl0tw25|conf-aaai-tangh0w0h25|conf-aaai-wangzhgy25|conf-aaai-zhaozz0c25|conf-aaai-zhouzqtcg25,AAAI,2025
pid:218/6818,Gengyu Lyu,218/6818,8,conf-aaai-lil0xy0d25|conf-aaai-wanghlzzxyd25|conf-aaai-zhaollw0yd25|conf-aaai-haidllyl25|conf-aaai-lyusdf25|conf-aaai-sundlhyl25|conf-aaai-wangxrzlhw25|conf-aaai-weidhlyl25,AAAI,2025
pid:10/8359-1,Nannan Wang 0001,10/8359-1,8,conf-aaai-chengythcgzw0025|conf-aaai-liuwp0h025|conf-aaai-xu0hg0l0025|conf-aaai-zhou0l0025|conf-aaai-zhu0025|conf-aaai-0006zlhsqx025|conf-aaai-gao000h25|conf-aaai-luzc0x0025,AAAI,2025
pid:169/7349,Chaozhuo Li,169/7349,7,conf-aaai-zhouztz025|conf-aaai-panglzwz25|conf-aaai-tangzl25|conf-aaai-jiangx0yw025|conf-aaai-zhulzwz25|conf-aaai-0096z0ykwm0z25|conf-aaai-zheng0zjwlz25,AAAI,2025
pid:54/2062-3,Cheng Wang 0003,54/2062-3,7,conf-aaai-huangxwwxxlgw025|conf-aaai-liuhlsw25|conf-aaai-yuslxywsw25|conf-aaai-zhengxxww025|conf-aaai-zhenglgzsw25|conf-aaai-zouzhxwlw25|conf-aaai-0006cyssfpw25,AAAI,2025
pid:67/1861-1,Di Jin 0001,67/1861-1,7,conf-aaai-dinghy0h25|conf-aaai-leicyhhw025|conf-aaai-yulch0w25|conf-aaai-huangzh0h025|conf-aaai-0001zfwhw25|conf-aaai-liuhy00z25|conf-aaai-yanwhw0025,AAAI,2025
pid:y/JianYang3,Jian Yang 0003,y/JianYang3,7,conf-aaai-zhaoxd0tyc025|conf-aaai-anz0ly25|conf-aaai-biwq0y25|conf-aaai-daizlrzyly25|conf-aaai-fanwycgly25|conf-aaai-hutzzzlzy25|conf-aaai-zhangcly25,AAAI,2025
pid:71/5333,Mingli Song,71/5333,7,conf-aaai-caozgwd0yss25|conf-aaai-yud0czs25|conf-aaai-zengszjs25|conf-aaai-duanhzjs0f25|conf-aaai-jiayqyx00sf25|conf-aaai-wei00zcs25|conf-aaai-zhouzhczss025,AAAI,2025
pid:68/10575-1,Tianlong Chen 0001,68/10575-1,7,conf-aaai-jinhzp0lc25|conf-aaai-lic00w25|conf-aaai-wangl0dzd0c0zl25|conf-aaai-wangzwch25|conf-aaai-coxxhxlhcg025|conf-aaai-0001pwhc025|conf-aaai-chen25a,AAAI,2025
pid:136/9389,Xueyang Fu,136/9389,7,conf-aaai-gefhwcz25|conf-aaai-liuxydctflz25|conf-aaai-liulxbxf25|conf-aaai-pengwdxfcz25|conf-aaai-wangflz25|conf-aaai-xuszclfc25|conf-aaai-zhulfsxlz25,AAAI,2025
pid:51/3710,Yang Liu,51/3710,7,conf-aaai-kangclllw25|conf-aaai-liuhx025|conf-aaai-liulh025|conf-aaai-wangzflcd25|conf-aaai-wanglzz25|conf-aaai-wanglylzzl25|conf-aaai-liuwl25,AAAI,2025
pid:183/0977-2,Yuxuan Liang 0002,183/0977-2,7,conf-aaai-kongwn0zlsw25|conf-aaai-liusl0x25|conf-aaai-00220zdl25|conf-aaai-liangzs0x0t025|conf-aaai-xiaylbwz25|conf-aaai-haocyzwwl25|conf-aaai-wangxzlwczzl25,AAAI,2025
