author_id,name,community_id,paper_count,weighted_degree,internal_weight,external_weight,external_ratio,community_span,bridge_score
pid:24/6606,Tat-Seng Chua,19,5,32,11,21,0.65625,5,38.47393518529913
pid:49/3283-5,Wei Liu 0005,40,5,43,25,18,0.4186046511627907,3,17.980450534949874
pid:230/1216,Henghui Ding,26,3,26,14,12,0.46153846153846156,5,15.462052444955383
pid:07/258,Enhong Chen,50,4,26,15,11,0.4230769230769231,3,11.105446834442569
pid:95/3736,Jun Liu,29,4,24,14,10,0.4166666666666667,4,10.87265796847542
pid:39/721-30,Hui Wang 0030,28,2,21,11,10,0.47619047619047616,1,8.062605621714026
pid:90/5064-21,Jie Hu 0021,63,3,28,18,10,0.35714285714285715,2,7.495043888100394
pid:49/3283,Wei Liu,37,4,28,17,11,0.39285714285714285,1,7.316814601705477
pid:y/ShuichengYan,Shuicheng Yan,54,4,26,18,8,0.3076923076923077,5,6.872023308869059
pid:92/2954-37,Feng Li 0037,36,2,11,5,6,0.5454545454545454,2,6.868185672004723
pid:39/3695,Xiaochun Cao,0,3,15,8,7,0.4666666666666667,2,6.855466809649159
pid:01/2775,Lei Yu,35,2,15,8,7,0.4666666666666667,2,6.855466809649159
pid:193/2457,Mengshu Sun,25,2,13,6,7,0.5384615384615384,1,6.38186244980287
pid:51/8693,Zechao Li,17,2,13,6,7,0.5384615384615384,1,6.38186244980287
pid:56/8110-1,Jiaoyan Chen 0001,37,2,17,9,8,0.47058823529411764,1,6.374201150343324
pid:354/8450,Lixiong Qin,29,2,17,9,8,0.47058823529411764,1,6.374201150343324
pid:14/1705,Yunhai Tong,62,3,25,17,8,0.32,3,6.108913564466921
pid:13/4984,Zhaoyang Sun,57,3,17,10,7,0.4117647058823529,2,6.048941302631611
pid:144/1417,Zhichao Lu,18,5,28,20,8,0.2857142857142857,4,5.9644295141350865
pid:99/4062,Charles Ling 0001,0,3,14,7,7,0.5,1,5.926015131959809
pid:78/3204-2,Feng Tian 0002,62,2,14,7,7,0.5,1,5.926015131959809
pid:81/5094-1,Yan Zhong 0001,37,2,14,7,7,0.5,1,5.926015131959809
pid:152/6727,Jinlong Liu,16,2,9,4,5,0.5555555555555556,2,5.82947857963364
pid:135/5118,Xinkui Zhao,45,2,13,7,6,0.46153846153846156,2,5.8115417224655355
pid:381/0370,Bozheng Li,53,3,18,11,7,0.3888888888888889,2,5.712889008040966
