paper_id,dblp_key,title,year,venue_key,venue_name,booktitle,ee,pages,crossref,dblp_url,toc_url,author_ids,author_names,author_count
conf-aaai-ahn0ss25,conf/aaai/Ahn0SS25,Real-Time Calibration Model for Low-Cost Sensor in Fine-Grained Time Series.,2025,aaai,AAAI,AAAI,https://doi.org/10.1609/aaai.v39i1.31974,3-11,conf/aaai/2025,https://dblp.org/db/conf/aaai/aaai2025.html#Ahn0SS25,https://dblp.org/db/conf/aaai/aaai2025.xml,pid:351/6431|pid:85/4680-4|pid:222/4993|pid:191/4764,Seokho Ahn|Hyungjin Kim 0004|Sungbok Shin|Young-Duk Seo,4
conf-aaai-ardywibowoskn25,conf/aaai/ArdywibowoSKN25,BayesCNS: A Unified Bayesian Approach to Address Cold Start and Non-Stationarity in Search Systems at Scale.,2025,aaai,AAAI,AAAI,https://doi.org/10.1609/aaai.v39i1.31975,12-20,conf/aaai/2025,https://dblp.org/db/conf/aaai/aaai2025.html#ArdywibowoSKN25,https://dblp.org/db/conf/aaai/aaai2025.xml,pid:234/7664|pid:389/6248|pid:389/5991|pid:34/649,Randy Ardywibowo|Rakesh Sunki|Shin Tsz Lucy Kuo|Sankalp Nayak,4
conf-aaai-caifb25,conf/aaai/CaiFB25,Scalable Surrogate Verification of Image-Based Neural Network Control Systems Using Composition and Unrolling.,2025,aaai,AAAI,AAAI,https://doi.org/10.1609/aaai.v39i1.31976,21-30,conf/aaai/2025,https://dblp.org/db/conf/aaai/aaai2025.html#CaiFB25,https://dblp.org/db/conf/aaai/aaai2025.xml,pid:253/1799|pid:127/1756|pid:16/7787,Feiyang Cai|Chuchu Fan|Stanley Bak,3
conf-aaai-caowc0g25,conf/aaai/CaoWC0G25,External Reliable Information-enhanced Multimodal Contrastive Learning for Fake News Detection.,2025,aaai,AAAI,AAAI,https://doi.org/10.1609/aaai.v39i1.31977,31-39,conf/aaai/2025,https://dblp.org/db/conf/aaai/aaai2025.html#CaoWC0G25,https://dblp.org/db/conf/aaai/aaai2025.xml,pid:204/0889|pid:10/10686|pid:20/2389|pid:58/2670-4|pid:45/794,Biwei Cao|Qihang Wu|Jiuxin Cao|Bo Liu 0004|Jie Gui,5
conf-aaai-caozgwd0yss25,conf/aaai/CaoZGWD0YSS25,Holistic Semantic Representation for Navigational Trajectory Generation.,2025,aaai,AAAI,AAAI,https://doi.org/10.1609/aaai.v39i1.31978,40-48,conf/aaai/2025,https://dblp.org/db/conf/aaai/aaai2025.html#CaoZGWD0YSS25,https://dblp.org/db/conf/aaai/aaai2025.xml,pid:216/2657-1|pid:245/8743|pid:52/6752|pid:02/5889-176|pid:397/2336|pid:235/0752-1|pid:12/1198|pid:09/4756-11|pid:71/5333,Ji Cao 0001|Tongya Zheng|Qinghong Guo|Yu Wang 0176|Junshu Dai|Shunyu Liu 0001|Jie Yang|Jie Song 0011|Mingli Song,9
conf-aaai-cenllw25,conf/aaai/CenLLW25,SQLFixAgent: Towards Semantic-Accurate Text-to-SQL Parsing via Consistency-Enhanced Multi-Agent Collaboration.,2025,aaai,AAAI,AAAI,https://doi.org/10.1609/aaai.v39i1.31979,49-57,conf/aaai/2025,https://dblp.org/db/conf/aaai/aaai2025.html#CenLLW25,https://dblp.org/db/conf/aaai/aaai2025.xml,pid:380/2540|pid:92/8473|pid:38/3988|pid:62/2631,Jipeng Cen|Jiaxin Liu|Zhixu Li|Jingjing Wang,4
conf-aaai-chenx0lw25,conf/aaai/ChenX0LW25,mmFAS: Multimodal Face Anti-Spoofing Using Multi-Level Alignment and Switch-Attention Fusion.,2025,aaai,AAAI,AAAI,https://doi.org/10.1609/aaai.v39i1.31980,58-66,conf/aaai/2025,https://dblp.org/db/conf/aaai/aaai2025.html#ChenX0LW25,https://dblp.org/db/conf/aaai/aaai2025.xml,pid:76/4764-6|pid:66/8204|pid:20/3191-2|pid:96/2615-5|pid:83/8841,Geng Chen 0006|Wuyuan Xie|Di Lin 0002|Ye Liu 0005|Miaohui Wang,5
conf-aaai-chen0zs25,conf/aaai/Chen0ZS25,CLEP: A Novel Contrastive Learning Method for Evolutionary Reentrancy Vulnerability Detection.,2025,aaai,AAAI,AAAI,https://doi.org/10.1609/aaai.v39i1.31981,67-74,conf/aaai/2025,https://dblp.org/db/conf/aaai/aaai2025.html#Chen0ZS25,https://dblp.org/db/conf/aaai/aaai2025.xml,pid:92/6289-99|pid:53/10765-1|pid:297/0152|pid:36/4372,Jie Chen 0099|Liangmin Wang 0001|Huijuan Zhu|Victor S. Sheng,4
conf-aaai-chenylllz25,conf/aaai/ChenYLLLZ25,GLCF: A Global-Local Multimodal Coherence Analysis Framework for Talking Face Generation Detection.,2025,aaai,AAAI,AAAI,https://doi.org/10.1609/aaai.v39i1.31982,75-83,conf/aaai/2025,https://dblp.org/db/conf/aaai/aaai2025.html#ChenYLLLZ25,https://dblp.org/db/conf/aaai/aaai2025.xml,pid:395/5263|pid:236/3223|pid:134/1248-2|pid:98/6613-1|pid:29/5265-1|pid:52/4786-1,Xiaocan Chen|Qilin Yin|Jiarui Liu 0002|Wei Lu 0001|Xiangyang Luo 0001|Jiantao Zhou 0001,6
conf-aaai-chenftlscyll25,conf/aaai/ChenFTLSCYLL25,ReactGPT: Understanding of Chemical Reactions via In-Context Tuning.,2025,aaai,AAAI,AAAI,https://doi.org/10.1609/aaai.v39i1.31983,84-92,conf/aaai/2025,https://dblp.org/db/conf/aaai/aaai2025.html#ChenFTLSCYLL25,https://dblp.org/db/conf/aaai/aaai2025.xml,pid:06/4240|pid:37/5803|pid:48/8590|pid:366/3803|pid:44/1920|pid:52/8180|pid:92/867|pid:67/5566|pid:01/800,Zhe Chen|Zhe Fang|Wenhao Tian|Zhaoguang Long|Changzhi Sun|Yuefeng Chen|Hao Yuan|Honglin Li|Man Lan,9
